iter	Passed	Remaining
721	62635	24117
722	62712	24026
723	62782	23933
724	62854	23841
725	62931	23751
726	63005	23659
727	63080	23568
728	63152	23476
729	63227	23385
730	63298	23293
731	63358	23196
732	63454	23113
733	63536	23025
734	63657	22951
735	63747	22865
736	63872	22793
737	63981	22714
738	64061	22625
739	64158	22542
740	64247	22456
741	64345	22373
742	64442	22290
743	64517	22199
744	64595	22109
745	64678	22021
746	64767	21935
747	64861	21851
748	64949	21765
749	65045	21681
750	65139	21597
751	65246	21517
752	65332	21430
753	65393	21335
754	65487	21250
755	65581	21166
756	65707	21092
757	65855	21025
758	65986	20952
759	66124	20881
760	66284	20817
761	66422	20745
762	66546	20670
763	66651	20588
764	66792	20518
765	66882	20431
766	66980	20347
767	67089	20266
768	67193	20184
769	67309	20105
770	67379	20012
771	67491	19932
772	67631	19860
773	67753	19783
774	67844	19696
775	67969	19619
776	68069	19536
777	68116	19436
778	68217	19353
779	68275	19257
780	68383	19175
781	68500	19096
782	68599	19011
783	68736	18937
784	68856	18858
785	68962	18776
786	69072	18694
787	69201	18617
788	69327	18539
789	69438	18458
790	69535	18372
791	69663	18295
792	69795	18219
793	69926	18142
794	70049	18063
795	70155	17979
796	70304	17906
797	70431	17828
798	70533	17743
799	70591	17647
800	70706	17566
801	70914	17507
802	71075	17437
803	71193	17355
804	71298	17271
805	71401	17186
806	71524	17105
807	71632	17021
808	71735	16936
809	71856	16855
810	71967	16771
811	72080	16688
812	72191	16604
813	72315	16524
814	72422	16439
815	72534	16355
816	72627	16267
817	72721	16180
818	72803	16089
819	72904	16003
820	73019	15920
821	73130	15836
822	73244	15752
823	73365	15670
824	73473	15585
825	73574	15498
826	73667	15410
827	73763	15322
828	73857	15234
829	73984	15153
830	74125	15074
831	74244	14991
832	74333	14902
833	74452	14818
834	74584	14738
835	74689	14652
836	74824	14571
837	74941	14487
838	75082	14407
839	75203	14324
840	75324	14240
841	75452	14158
842	75569	14074
843	75683	13988
844	75804	13904
845	75929	13821
846	76067	13740
847	76199	13658
848	76311	13572
849	76410	13484
850	76520	13397
851	76616	13308
852	76704	13218
853	76836	13135
854	76940	13048
855	77044	12960
856	77136	12871
857	77254	12785
858	77360	12698
859	77460	12609
860	77576	12524
861	77706	12440
862	77814	12352
863	77897	12261
864	78007	12174
865	78132	12089
866	78240	12002
867	78355	11915
868	78473	11829
869	78600	11744
870	78687	11654
871	78797	11566
872	78896	11477
873	79035	11394
874	79148	11306
875	79309	11226
876	79434	11140
877	79549	11053
878	79661	10965
879	79764	10876
880	79863	10787
881	79989	10701
882	80069	10609
883	80199	10523
884	80313	10436
885	80452	10351
886	80585	10266
887	80691	10177
888	80790	10087
889	80882	9996
890	81015	9911
891	81115	9821
892	81208	9730
893	81349	9645
894	81444	9554
895	81559	9466
896	81628	9373
897	81715	9281
898	81808	9190
899	82008	9112
900	82137	9025
901	82225	8933
902	82333	8844
903	82454	8756
904	82564	8667
905	82650	8575
906	82734	8483
907	82853	8394
908	82974	8306
909	83078	8216
910	83173	8125
911	83264	8034
912	83373	7944
913	83488	7855
914	83599	7766
915	83721	7677
916	83869	7591
917	83992	7502
918	84114	7413
919	84222	7323
920	84321	7232
921	84422	7142
922	84506	7049
923	84610	6959
924	84722	6869
925	84838	6779
926	84969	6691
927	85055	6599
928	85176	6509
929	85296	6420
930	85418	6330
931	85516	6239
932	85620	6148
933	85705	6056
934	85794	5964
935	85899	5873
936	86017	5783
937	86144	5693
938	86241	5602
939	86359	5512
940	86466	5421
941	86590	5331
942	86717	5241
943	86809	5149
944	86928	5059
945	87038	4968
946	87165	4878
947	87271	4787
948	87383	4696
949	87497	4605
950	87608	4513
951	87726	4423
952	87826	4331
953	87924	4239
954	88032	4148
955	88138	4056
956	88252	3965
957	88367	3874
958	88478	3782
959	88591	3691
960	88709	3600
961	88775	3506
962	88894	3415
963	88998	3323
964	89098	3231
965	89183	3138
966	89329	3048
967	89436	2956
968	89547	2864
969	89648	2772
970	89746	2680
971	89857	2588
972	89974	2496
973	90085	2404
974	90178	2312
975	90255	2219
976	90362	2127
977	90479	2035
978	90587	1943
979	90687	1850
980	90809	1758
981	90903	1666
982	90977	1573
983	91086	1481
984	91144	1387
985	91223	1295
986	91283	1202
987	91366	1109
988	91521	1017
989	91594	925
990	91683	832
991	91771	740
992	91868	647
993	91981	555
994	92089	462
995	92172	370
996	92266	277
997	92373	185
998	92462	92
999	92576	0
